Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt,cHid
420,BLVD,94538,832700,1,3,Centerville,True,420
421,DR,94536,835400,0,3,Downtown / BART,False,421
422,ST,94536,835010,0,3,Centerville,False,422
423,DR,94536,832110,0,3,Centerville,False,423
424,ST,94536,835400,0,3,Downtown / BART,False,424
425,PL,94538,832910,0,3,Centerville,False,425
426,TER,94538,832910,0,3,Centerville,False,426
427,ST,94536,835200,0,3,Centerville,True,427
428,DR,94536,835300,0,3,Downtown / BART,False,428
429,DR,94538,832620,2,3,Centerville,False,429
430,LN,94538,832810,0,3,Centerville,False,430
431,DR,94538,832900,0,3,Centerville,False,431
432,CT,94538,832900,0,3,Centerville,False,432
433,AVE,94538,832810,0,3,Centerville,False,433
434,TER,94536,835000,0,3,Downtown / BART,False,434
435,BLVD,94538,832700,2,3,Centerville,True,435
436,CT,94536,831730,0,3,Downtown / BART,False,436
437,CMN,94536,835300,0,3,Downtown / BART,False,437
438,CMN,94536,835100,0,3,Centerville,False,438
439,AVE,94536,835500,0,3,Downtown / BART,True,439
440,PL,94538,832600,1,3,Centerville,False,440
441,PKWY,94536,835000,0,3,Downtown / BART,True,441
442,ST,94538,832710,0,3,Centerville,False,442
443,ST,94536,835400,0,3,Downtown / BART,False,443
444,ST,94536,835410,0,3,Downtown / BART,False,444
445,DR,94538,832620,1,3,Centerville,False,445
446,ST,94536,832110,0,3,Centerville,False,446
447,BLVD,94538,835310,0,3,Downtown / BART,True,447
448,BLVD,94538,835310,0,3,Downtown / BART,True,448
449,BLVD,94538,832700,2,3,Centerville,True,449
450,CMN,94538,835310,0,3,Downtown / BART,False,450
451,DR,94536,832210,2,3,Centerville,False,451
452,BLVD,94538,832700,2,3,Centerville,True,452
453,AVE,94536,835200,0,3,Centerville,True,453
454,CT,94536,835000,0,3,Downtown / BART,False,454
455,ST,94538,832810,0,3,Centerville,False,455
456,DR,94538,832610,2,3,Centerville,True,456
457,DR,94538,832620,1,3,Centerville,False,457
458,AVE,94538,835310,0,3,Downtown / BART,True,458
459,DR,94536,835100,0,3,Centerville,False,459
460,CMN,94536,835420,0,3,Downtown / BART,False,460
461,CMN,94538,835310,0,3,Downtown / BART,False,461
462,BLVD,94538,835310,0,3,Downtown / BART,True,462
463,WAY,94536,832210,2,3,Centerville,False,463
464,DR,94538,832800,0,3,Centerville,False,464
465,AVE,94536,835010,0,3,Centerville,False,465
466,DR,94536,832210,1,3,Centerville,True,466
467,ST,94536,835300,0,3,Downtown / BART,True,467
468,TER,94536,832110,0,3,Centerville,False,468
469,AVE,94538,832620,2,3,Centerville,False,469
470,GRN,94536,835400,0,3,Downtown / BART,False,470
471,CMN,94538,835310,0,3,Downtown / BART,False,471
472,WAY,94536,832400,0,3,Centerville,False,472
473,DR,94536,835100,0,3,Centerville,False,473
474,AVE,94536,835300,0,3,Downtown / BART,True,474
475,AVE,94536,835500,0,3,Downtown / BART,False,475
476,ST,94536,835400,0,3,Downtown / BART,True,476
477,AVE,94536,835300,0,3,Downtown / BART,True,477
478,CMN,94538,832620,2,3,Centerville,False,478
479,ST,94538,832800,0,3,Centerville,False,479
480,AVE,94538,835300,0,3,Downtown / BART,True,480
481,DR,94538,832900,0,3,Centerville,False,481
482,AVE,94538,835300,0,3,Downtown / BART,True,482
483,ST,94536,832210,2,3,Centerville,True,483
484,BLVD,94538,835310,0,3,Downtown / BART,True,484
485,CT,94538,832800,0,3,Centerville,False,485
486,CMN,94538,832610,1,3,Centerville,False,486
487,CMN,94536,835000,0,3,Downtown / BART,False,487
488,DR,94536,835100,0,3,Centerville,False,488
489,AVE,94538,832610,1,3,Centerville,False,489
490,AVE,94536,835300,0,3,Downtown / BART,True,490
491,ST,94538,835310,0,3,Downtown / BART,True,491
492,ST,94538,832800,0,3,Centerville,False,492
493,RD,94538,832900,0,3,Centerville,False,493
494,ST,94536,835420,0,3,Downtown / BART,False,494
495,ST,94538,832800,0,3,Centerville,False,495
496,CT,94536,835400,0,3,Downtown / BART,False,496
497,AVE,94538,835310,0,3,Downtown / BART,True,497
498,DR,94538,832900,0,3,Centerville,False,498
499,WAY,94536,832400,0,3,Centerville,False,499
500,DR,94538,832810,0,3,Centerville,False,500
501,CMN,94538,835310,0,3,Downtown / BART,False,501
502,ST,94536,835200,0,3,Centerville,True,502
503,WAY,94538,832900,0,3,Centerville,False,503
504,ST,94536,835300,0,3,Downtown / BART,True,504
505,CMN,94536,835500,0,3,Downtown / BART,False,505
506,AVE,94538,832710,0,3,Centerville,False,506
507,BLVD,94538,835310,0,3,Downtown / BART,True,507
508,CMN,94538,835310,0,3,Downtown / BART,False,508
509,ST,94538,832800,0,3,Centerville,False,509
510,CMN,94538,832610,1,3,Centerville,False,510
511,CT,94538,832710,0,3,Centerville,False,511
512,PL,94538,832910,0,3,Centerville,False,512
513,CMN,94538,832610,1,3,Centerville,False,513
514,LN,94538,832700,1,3,Centerville,False,514
515,LOOP,94536,835010,0,3,Centerville,False,515
516,BLVD,94538,832700,2,3,Centerville,False,516
517,BLVD,94538,832700,2,3,Centerville,True,517
518,DR,94538,832810,0,3,Centerville,False,518
519,BLVD,94538,832700,2,3,Centerville,True,519
520,WAY,94538,832610,2,3,Centerville,True,520
521,CMN,94538,832610,1,3,Centerville,False,521
522,AVE,94536,835040,0,3,Downtown / BART,False,522
523,BLVD,94538,832700,2,3,Centerville,True,523
524,DR,94536,832400,0,3,Centerville,False,524
525,WAY,94536,835040,0,3,Downtown / BART,False,525
526,WAY,94538,832710,0,3,Centerville,False,526
527,RD,94538,832900,0,3,Centerville,False,527
528,ST,94536,835200,0,3,Centerville,True,528
529,CMN,94538,835310,0,3,Downtown / BART,False,529
530,CMN,94538,835310,0,3,Downtown / BART,False,530
531,CMN,94536,835420,0,3,Downtown / BART,False,531
532,CT,94538,832900,0,3,Centerville,False,532
533,PL,94538,832910,0,3,Centerville,False,533
534,DR,94536,835400,0,3,Downtown / BART,False,534
